source,source_kind,line_index,raw_line,source_text_all,candidate_norm,candidate_formatted,ocr_confidence,line_center_x,line_center_y,line_width,line_height,pattern_score,geometry_score,confidence_bonus,noise_penalty,final_score,removed_noise_suffix,notes,filename,rank,selected
full_image,full_image_line,2.0,BE 1943FL,0 6 1977 NE BE 1943FL 09·30,BE1943FL,BE 1943 FL,0.9569810032844543,0.3034425319267074,0.7384786229872293,0.23820099944475293,0.09106052193225986,112.0,16.0,13.39773404598236,0.0,151.39773404598236,,candidate from single OCR line,alpr_lampung_000001.jpg,1,True
full_image,full_image_line,2.0,BE 1943FL,0 6 1977 NE BE 1943FL 09·30,BE1943F,BE 1943 F,0.9569810032844543,0.3034425319267074,0.7384786229872293,0.23820099944475293,0.09106052193225986,102.0,16.0,13.39773404598236,-0.7,140.69773404598237,L,candidate from single OCR line; removed trailing noise: L,alpr_lampung_000001.jpg,2,False
full_image,full_image_joined,,0 6 1977 NE BE 1943FL 09·30,0 6 1977 NE BE 1943FL 09·30,BE1943FL,BE 1943 FL,0.7647500112652779,,,,,106.0,-4.0,10.70650015771389,-9.0,95.70650015771389,0930,candidate from joined fallback; removed trailing noise: 0930; date-like trailing noise removed; joined text too long,alpr_lampung_000001.jpg,3,False
full_image,full_image_joined,,0 6 1977 NE BE 1943FL 09·30,0 6 1977 NE BE 1943FL 09·30,BE1943F,BE 1943 F,0.7647500112652779,,,,,104.0,-4.0,10.70650015771389,-9.0,93.70650015771389,L0930,candidate from joined fallback; removed trailing noise: L0930; date-like trailing noise removed; joined text too long,alpr_lampung_000001.jpg,4,False
full_image,full_image_line,0.0,BE1282ANG,BE1282ANG C4·29,BE1282ANG,BE 1282 ANG,0.9973379969596863,0.7061335403726708,0.65722049689441,0.19953416149068323,0.05822981366459627,118.0,16.0,13.962731957435608,0.0,157.9627319574356,,candidate from single OCR line,alpr_lampung_000015.jpg,1,True
full_image,full_image_line,0.0,BE1282ANG,BE1282ANG C4·29,BE1282AN,BE 1282 AN,0.9973379969596863,0.7061335403726708,0.65722049689441,0.19953416149068323,0.05822981366459627,101.0,16.0,13.962731957435608,-0.7,140.26273195743562,G,candidate from single OCR line; removed trailing noise: G,alpr_lampung_000015.jpg,2,False
full_image,full_image_line,0.0,BE1282ANG,BE1282ANG C4·29,BE1282A,BE 1282 A,0.9973379969596863,0.7061335403726708,0.65722049689441,0.19953416149068323,0.05822981366459627,99.0,16.0,13.962731957435608,-1.4,137.5627319574356,NG,candidate from single OCR line; removed trailing noise: NG,alpr_lampung_000015.jpg,3,False
full_image,full_image_joined,,BE1282ANG C4·29,BE1282ANG C4·29,BE1282ANG,BE 1282 ANG,0.8753692805767059,,,,,112.0,-4.0,12.255169928073883,-1.0,111.25516992807388,C429,candidate from joined fallback; removed trailing noise: C429; date-like trailing noise removed,alpr_lampung_000015.jpg,4,False
full_image,full_image_joined,,BE1282ANG C4·29,BE1282ANG C4·29,BE1282AN,BE 1282 AN,0.8753692805767059,,,,,103.0,-4.0,12.255169928073883,-1.0,102.25516992807388,GC429,candidate from joined fallback; removed trailing noise: GC429; date-like trailing noise removed,alpr_lampung_000015.jpg,5,False
full_image,full_image_joined,,BE1282ANG C4·29,BE1282ANG C4·29,BE1282A,BE 1282 A,0.8753692805767059,,,,,101.0,-4.0,12.255169928073883,-1.0,100.25516992807388,NGC429,candidate from joined fallback; removed trailing noise: NGC429; date-like trailing noise removed,alpr_lampung_000015.jpg,6,False
